,combinacoes,ba,f1,gmean,auc
0,adamax+smotetomek,0.6153384066913479,0.6325954777303123,0.7712317951341275,0.7911658762359894
1,rmsprop+smotetomek,0.6079125188536953,0.6215281657346706,0.766163427113555,0.7869603648851792
2,sgdm+smotetomek,0.6143536267653914,0.6199386967276406,0.7699618129260648,0.790022280729177
3,adamax+smotetomek+cs,0.64205745235157,0.6483474015035162,0.7877049819572066,0.8044101539641788
4,rmsprop+smotetomek+cs,0.6161191553544495,0.633071885751961,0.7715731633891647,0.7912808677145485
5,sgdm+smotetomek+cs,0.6583251062662827,0.655111879425923,0.7978186142022274,0.81277260622031
