,combinacoes,ba,f1,gmean,auc
0,adamax+smote,0.638326888797477,0.644957901084076,0.7860824306553247,0.8032568829928334
1,rmsprop+smote,0.6334764843000137,0.6244701185186472,0.7826192222487043,0.8002229735601027
2,sgdm+smote,0.6341245029480324,0.634382256997954,0.782813031690974,0.8002989118186381
3,adamax+smote+cs,0.6359805292746468,0.6370284874979398,0.7839178809460822,0.8011636050989471
4,rmsprop+smote+cs,0.6403493761140819,0.6187425570465764,0.7864355842373364,0.8032068877143408
5,sgdm+smote+cs,0.618267105443576,0.612091756984338,0.77201341998501,0.7913428130788311
