,combinacoes,ba,f1,gmean,auc
0,adamax+origin,0.6286525435348965,0.6288994274889228,0.780524437673828,0.7991119507647155
1,rmsprop+origin,0.6514866310160429,0.6552446896669644,0.7948994375358194,0.810985587601088
2,sgdm+origin,0.6167265871383518,0.6222291358224444,0.7720822981701416,0.7922521605350219
3,adamax+origin+cs,0.6280423693953104,0.6252142926144497,0.7790873127169647,0.797733006153911
4,rmsprop+origin+cs,0.6258837241190183,0.6211370611378821,0.7779185239025634,0.7967456253709593
5,sgdm+origin+cs,0.6667684080625258,0.66358724207967,0.8037483033862163,0.8180274158869875
