,combinacoes,ba,f1,gmean,auc
0,adamax+bdsmote,0.552642945290004,0.5660755599621032,0.7285935829602836,0.7570154477963811
1,rmsprop+bdsmote,0.5548196901138077,0.5862711209723186,0.7302779928944876,0.7582046795610655
2,sgdm+bdsmote,0.5685627313862609,0.5907479318777227,0.7395020279230714,0.7656905431400175
3,adamax+bdsmote+cs,0.5748162621692032,0.5851807547409238,0.743920883320213,0.7689835354795058
4,rmsprop+bdsmote+cs,0.5545609488550663,0.5834712494302402,0.7303094315400505,0.7583062375433155
5,sgdm+bdsmote+cs,0.5777615521733169,0.5718244077838327,0.7449521541092325,0.769532926730907
